"coordenadas","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","Tipo","entrecalles","colonia","calle","numero_exterior","Necesidades","link_google_maps","lon","lat","entidad","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-99.2266143, 19.4259743",-99.2266143,19.4259743,"Fuente de Las Pirámides 37","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Fuente de Las Pirámides 37, Lomas de Tecamachalco, 53950 Naucalpan de Juárez, Méx., Mexico","Fuente de Las Pirámides","37","Lomas de Tecamachalco",53950,"Naucalpan de Juárez","Estado de México","Mexico",19.4259743,-99.2266143
"-99.2637357, 19.4014124",-99.2637357,19.4014124,"Universidad Anáhuac","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Ingeniería Civil, Lomas Anahuac, 52786 Naucalpan de Juárez, Méx., Mexico","Ingeniería Civil",NA,"Lomas Anahuac",52786,"Naucalpan de Juárez","Estado de México","Mexico",19.4014124,-99.2637357
"-99.2594795, 19.3646662",-99.2594795,19.3646662,"Av. Javier Barros Sierra 540","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Av. Javier Barros Sierra 540, Santa Fe, Zedec Sta Fé, 01219 Ciudad de México, CDMX, Mexico","Avenida Javier Barros Sierra","540","Zedec Santa Fé",1219,"Álvaro Obregón","Ciudad de México","Mexico",19.3646662,-99.2594795
"-99.1555426, 19.3957887",-99.1555426,19.3957887,"Metrobus Etiopia/Plaza de la Transparencia","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Xola 1255, Narvarte Poniente, 03020 Ciudad de México, CDMX, Mexico","Xola","1255","Narvarte Poniente",3020,"Benito Juárez","Ciudad de México","Mexico",19.3957887,-99.1555426
"-99.1609257, 19.3876348",-99.1609257,19.3876348,"Heriberto Frías 819","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Heriberto Frías 819, Narvarte Poniente, 03020 Ciudad de México, CDMX, Mexico","Heriberto Frías","819","Narvarte Poniente",3020,"Benito Juárez","Ciudad de México","Mexico",19.3876348,-99.1609257
"-99.2631874, 19.37948",-99.2631874,19.37948,"Bosque de Toronjos 39","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Bosque de Toronjos 39, Bosques de las Lomas, 05100 Ciudad de México, CDMX, Mexico","Bosque de Toronjos","39","Bosques de las Lomas",5100,"Cuajimalpa de Morelos","Ciudad de México","Mexico",19.37948,-99.2631874
"-99.2506174, 19.3908369",-99.2506174,19.3908369,"Paseo de Los Tamarindos 49","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Paseo de Los Tamarindos 49, Bosques de las Lomas, 05120 Ciudad de México, CDMX, Mexico","Paseo de Los Tamarindos","49","Bosques de las Lomas",5120,"Cuajimalpa de Morelos","Ciudad de México","Mexico",19.3908369,-99.2506174
"-99.278429, 19.3529946",-99.278429,19.3529946,"Av. Arteaga y Salazar 1267","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Av. Arteaga y Salazar 1267, Contadero, 05230 Ciudad de México, CDMX, Mexico","Avenida Arteaga y Salazar","1267","Contadero",5230,"Cuajimalpa de Morelos","Ciudad de México","Mexico",19.3529946,-99.278429
"-99.1332049, 19.4326018",-99.1332049,19.4326018,"Zócalo","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","José María Pino Suárez 29, Centro Histórico, Centro, 06000 Ciudad de México, CDMX, Mexico","José María Pino Suárez","29","Centro",6000,"Cuauhtémoc","Ciudad de México","Mexico",19.4326018,-99.1332049
"-99.1691057, 19.411927",-99.1691057,19.411927,"Parque México","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Av México 151, Hipódromo, 06100 Ciudad de México, CDMX, Mexico","Avenida México","151","Hipódromo",6100,"Cuauhtémoc","Ciudad de México","Mexico",19.411927,-99.1691057
"-99.1711504, 19.4153363",-99.1711504,19.4153363,"España Park","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Av Nuevo León 22-26, Condesa, 06140 Ciudad de México, CDMX, Mexico","Avenida Nuevo León","22-26","Condesa",6140,"Cuauhtémoc","Ciudad de México","Mexico",19.4153363,-99.1711504
"-99.1667107, 19.4199258",-99.1667107,19.4199258,"Glorieta De Cibeles","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Plaza Villa de Madrid 22, Roma Nte., 06700 Ciudad de México, CDMX, Mexico","Plaza Villa de Madrid","22","Roma Norte",6700,"Cuauhtémoc","Ciudad de México","Mexico",19.4199258,-99.1667107
